ha_entity_id,new_device_id
# TOGGLES (input_boolean -> toggle)
input_boolean.eli_s_alarm,helpers.eli_s_alarm
input_boolean.meghan_s_alarm,helpers.meghan_s_alarm
input_boolean.levi_s_alarm,helpers.levi_s_alarm
input_boolean.asher_s_alarm,helpers.asher_s_alarm
input_boolean.sloane_s_alarm,helpers.sloane_s_alarm
input_boolean.konnected_error,helpers.konnected_error
input_boolean.outdoor_speakers_sync_to_main,helpers.outdoor_speakers_sync_to_main
input_boolean.levi_sleeping,helpers.levi_sleeping
input_boolean.asher_sleeping,helpers.asher_sleeping
input_boolean.sloane_sleeping,helpers.sloane_sleeping
input_boolean.home_alert,helpers.home_alert
input_boolean.kids_sleeping,helpers.kids_sleeping
input_boolean.sleepover_party,helpers.sleepover_party
input_boolean.motion_lights_on,helpers.motion_lights_on
input_boolean.upstairs_vacant_2,helpers.upstairs_vacant
input_boolean.wake_up_with_music,helpers.wake_up_with_music
input_boolean.kitchen_motion_detected,helpers.kitchen_motion_detected
input_boolean.office_motion_sensor,helpers.office_motion_sensor
input_boolean.movie_kiosk_motion,helpers.movie_kiosk_motion
input_boolean.game_room_speakers,helpers.game_room_speakers
input_boolean.guest_mode,helpers.guest_mode
input_boolean.movie_tv_warning,helpers.movie_tv_warning
input_boolean.upstairs_climate_status,helpers.upstairs_climate_status
input_boolean.kids_at_school,helpers.kids_at_school
input_boolean.water_heater_needs_service,helpers.water_heater_needs_service
input_boolean.warning,helpers.warning
input_boolean.wake_meghan_with_music,helpers.wake_meghan_with_music
input_boolean.critical_warning,helpers.critical_warning
input_boolean.stop_roomba,helpers.stop_roomba
input_boolean.main_floor_roborock_cleaning,helpers.main_floor_roborock_cleaning
input_boolean.motion_lights_auto_off,helpers.motion_lights_auto_off
input_boolean.wallpanel_screensaver,helpers.wallpanel_screensaver
input_boolean.vacuum_auto_run,helpers.vacuum_auto_run
input_boolean.pause_vacuum_for_5_min,helpers.pause_vacuum_for_5_min
input_boolean.lights_on_in_bedroom,helpers.lights_on_in_bedroom
input_boolean.bedroom_tv,helpers.bedroom_tv
input_boolean.motion_detected_on_front_patio,helpers.motion_detected_on_front_patio
input_boolean.motion_detected_on_back_porch,helpers.motion_detected_on_back_porch
input_boolean.tire_pressure_warning_for_voyager,helpers.tire_pressure_warning_for_voyager
input_boolean.tire_pressure_warning_for_enterprise,helpers.tire_pressure_warning_for_enterprise
input_boolean.tire_mileage_warning_for_voyager,helpers.tire_mileage_warning_for_voyager
input_boolean.tire_mileage_warning_for_enterprise,helpers.tire_mileage_warning_for_enterprise
input_boolean.camera_motion_on_front_porch,helpers.camera_motion_on_front_porch
input_boolean.smoke_detector_needs_service,helpers.smoke_detector_needs_service
input_boolean.dryer_vent_needs_service,helpers.dryer_vent_needs_service
input_boolean.air_filter_needs_service,helpers.air_filter_needs_service
input_boolean.cats_detected_outdoors,helpers.cats_detected_outdoors
input_boolean.motion_detected_in_garage,helpers.motion_detected_in_garage
input_boolean.system_memory_warning,helpers.system_memory_warning
input_boolean.show_doorbell_camera,helpers.show_doorbell_camera
input_boolean.party_mode,helpers.party_mode
input_boolean.sensor_battery_warning,helpers.sensor_battery_warning
input_boolean.auto_adjust_power_reserve,helpers.auto_adjust_power_reserve
input_boolean.late_night,helpers.late_night
input_boolean.halloween_mode,helpers.halloween_mode
input_boolean.movie_mode,helpers.movie_mode
input_boolean.game_room_motion_detected,helpers.game_room_motion_detected
input_boolean.living_room_motion_detected,helpers.living_room_motion_detected
input_boolean.motion_detected_in_office,helpers.motion_detected_in_office
input_boolean.person_in_main_bathroom,helpers.person_in_main_bathroom
input_boolean.person_in_hallway,helpers.person_in_hallway
input_boolean.person_in_powder_room,helpers.person_in_powder_room
input_boolean.person_at_top_of_stairs,helpers.person_at_top_of_stairs
input_boolean.person_detected_in_main_bedroom,helpers.person_detected_in_main_bedroom
input_boolean.person_in_movie_room,helpers.person_in_movie_room
input_boolean.person_in_piano_room,helpers.person_in_piano_room
input_boolean.sexy_time,helpers.sexy_time
input_boolean.announce_changes_to_video_game_time,helpers.announce_changes_to_video_game_time
input_boolean.automatically_arm_the_alarm,helpers.automatically_arm_the_alarm
input_boolean.automatically_disarm_the_alarm,helpers.automatically_disarm_the_alarm
input_boolean.alarm_when_person_detected_by_cameras,helpers.alarm_when_person_detected_by_cameras
input_boolean.keep_house_on,helpers.keep_house_on
input_boolean.main_floor_hvac_fan,helpers.main_floor_hvac_fan
input_boolean.upstairs_hvac_fan,helpers.upstairs_hvac_fan
input_boolean.simulated_hvac_fan_main_floor,helpers.simulated_hvac_fan_main_floor
input_boolean.auto_party_off,helpers.auto_party_off
input_boolean.mute_living_room,helpers.mute_living_room
input_boolean.clean_living_room_16,helpers.clean_living_room
input_boolean.clean_office_17,helpers.clean_office
input_boolean.clean_kitchen_18,helpers.clean_kitchen
input_boolean.clean_bedroom_19,helpers.clean_bedroom
input_boolean.clean_main_bathroom_20,helpers.clean_main_bathroom
input_boolean.clean_entry_21,helpers.clean_entry
input_boolean.clean_powder_room_22,helpers.clean_powder_room
input_boolean.clean_laundry_room_23,helpers.clean_laundry_room
input_boolean.clean_hallway_24,helpers.clean_hallway
input_boolean.clean_dining_room_25,helpers.clean_dining_room
input_boolean.clean_bottom_of_stairs_26,helpers.clean_bottom_of_stairs
input_boolean.clean_guest_room_27,helpers.clean_guest_room
input_boolean.clean_breakfast_table_28,helpers.clean_breakfast_table
input_boolean.person_in_toilet_room,helpers.person_in_toilet_room
input_boolean.person_in_dining_room,helpers.person_in_dining_room
input_boolean.person_in_guest_room,helpers.person_in_guest_room
input_boolean.person_in_foyer,helpers.person_in_foyer
input_boolean.person_in_pool,helpers.person_in_pool
input_boolean.person_in_front_yard,helpers.person_in_front_yard
input_boolean.upstairs_occupied,helpers.upstairs_occupied
input_boolean.wind_speed_warning,helpers.wind_speed_warning
input_boolean.garage_freezer_left_open,helpers.garage_freezer_left_open
input_boolean.fridge_warning_2,helpers.fridge_warning
input_boolean.hvac_main_floor_fan_on,helpers.hvac_main_floor_fan_on
input_boolean.hvac_upstairs_fan_on,helpers.hvac_upstairs_fan_on
input_boolean.recommend_opening_window,helpers.recommend_opening_window
input_boolean.person_in_boys_bathroom,helpers.person_in_boys_bathroom
input_boolean.person_in_sloanes_bathroom,helpers.person_in_sloanes_bathroom
input_boolean.silence_alerts,helpers.silence_alerts
input_boolean.spa_heater,helpers.spa_heater
input_boolean.pool_heater,helpers.pool_heater
input_boolean.power_level_verbal_warnings,helpers.power_level_verbal_warnings
input_boolean.spinkler_running,helpers.sprinkler_running
input_boolean.water_left_running,helpers.water_left_running
input_boolean.outdoor_halloween_mode,helpers.outdoor_halloween_mode
input_boolean.run_jack_and_sally_show,helpers.run_jack_and_sally_show
input_boolean.meghan_is_sleeping,helpers.meghan_is_sleeping
input_boolean.constant_fog,helpers.constant_fog
input_boolean.flicker_office_lights,helpers.flicker_office_lights
input_boolean.flicker_dining_room_lights,helpers.flicker_dining_room_lights
input_boolean.animatronics_armed,helpers.animatronics_armed
input_boolean.flicker_foyer_lights,helpers.flicker_foyer_lights
input_boolean.kisok_screensaver,helpers.kiosk_screensaver
input_boolean.kiosk_movie_room_screensaver,helpers.kiosk_movie_room_screensaver
input_boolean.kiosk_hallway_screensaver,helpers.kiosk_hallway_screensaver
input_boolean.kiosk_kitchen_screensaver,helpers.kiosk_kitchen_screensaver
input_boolean.kiosk_guest_room_screensaver,helpers.kiosk_guest_room_screensaver
input_boolean.kiosk_bedroom_screensaver,helpers.kiosk_bedroom_screensaver
input_boolean.kiosk_office_screensaver,helpers.kiosk_office_screensaver
input_boolean.christmas_mode,helpers.christmas_mode
input_boolean.auto_pool_cleaner,helpers.auto_pool_cleaner
input_boolean.spa_is_ready,helpers.spa_is_ready
input_boolean.pool_is_heated,helpers.pool_is_heated
input_boolean.video_games_being_played,helpers.video_games_being_played
input_boolean.wake_sloane_with_music,helpers.wake_sloane_with_music
input_boolean.wake_levi_with_music,helpers.wake_levi_with_music
input_boolean.wake_asher_with_music,helpers.wake_asher_with_music
input_boolean.house_is_dark,helpers.house_is_dark
input_boolean.freeze_protection,helpers.freeze_protection
input_boolean.auto_bedjet_for_eli,helpers.auto_bedjet_for_eli
input_boolean.auto_bedjet_for_meghan,helpers.auto_bedjet_for_meghan
input_boolean.bedjet_ek_started_by_ha,helpers.bedjet_ek_started_by_ha
input_boolean.bedjet_mk_started_by_ha,helpers.bedjet_mk_started_by_ha
# NUMBERS (input_number -> number)
input_number.extracurrent,helpers.extracurrent
input_number.home_power_usage,helpers.home_power_usage
input_number.extra_power,helpers.extra_power
input_number.water_heater_service_interval,helpers.water_heater_service_interval
input_number.tire_pressure_warning_threshold_for_voyager,helpers.tire_pressure_warning_threshold_for_voyager
input_number.tire_pressure_warning_threshold_for_enterprise,helpers.tire_pressure_warning_threshold_for_enterprise
input_number.tire_warning_mileage_snooze_for_enterprise,helpers.tire_warning_mileage_snooze_for_enterprise
input_number.smoke_detector_service_interval,helpers.smoke_detector_service_interval
input_number.dryer_vent_service_interval,helpers.dryer_vent_service_interval
input_number.air_filter_service_interval,helpers.air_filter_service_interval
input_number.minimum_charge_level_for_smartcharge,helpers.minimum_charge_level_for_smartcharge
input_number.minimum_powerwall_charge_level,helpers.minimum_powerwall_charge_level
input_number.ev_charging_amp_set_point,helpers.ev_charging_amp_set_point
input_number.smart_charge_kwh_added_to_cars,helpers.smart_charge_kwh_added_to_enterprise
input_number.smart_charge_kwh_added_to_voyager,helpers.smart_charge_kwh_added_to_voyager
input_number.powerwall_daily_battery_max,helpers.powerwall_daily_battery_max
input_number.blind_battery_living_room_left,helpers.blind_battery_living_room_left
input_number.blind_battery_living_room_middle,helpers.blind_battery_living_room_middle
input_number.blind_battery_living_room_right,helpers.blind_battery_living_room_right
input_number.blind_battery_bedroom_backyard_left,helpers.blind_battery_bedroom_backyard_left
input_number.blind_battery_bedroom_backyard_middle,helpers.blind_battery_bedroom_backyard_middle
input_number.blind_battery_bedroom_backyard_right,helpers.blind_battery_bedroom_backyard_right
input_number.blind_battery_office_left,helpers.blind_battery_office_left
input_number.blind_battery_office_middle,helpers.blind_battery_office_middle
input_number.blind_battery_office_right,helpers.blind_battery_office_right
input_number.blind_battery_ashers_bedroom,helpers.blind_battery_ashers_bedroom
input_number.blind_battery_levis_bedroom,helpers.blind_battery_levis_bedroom
input_number.blind_battery_sloanes_bedroom,helpers.blind_battery_sloanes_bedroom
input_number.blind_battery_game_room_left,helpers.blind_battery_game_room_left
input_number.blind_battery_game_room_middle,helpers.blind_battery_game_room_middle
input_number.blind_battery_game_room_right,helpers.blind_battery_game_room_right
input_number.blind_battery_movie_room,helpers.blind_battery_movie_room
input_number.blind_battery_bedroom_eli,helpers.blind_battery_bedroom_eli
input_number.blind_battery_bedroom_meghan,helpers.blind_battery_bedroom_meghan
input_number.night_setpoint,helpers.night_setpoint
input_number.morning_setpoint,helpers.morning_setpoint
input_number.day_setpoint,helpers.day_setpoint
input_number.evening_setpoint,helpers.evening_setpoint
input_number.late_evening_setpoint,helpers.late_evening_setpoint
input_number.night_setpoint_upstairs,helpers.night_setpoint_upstairs
input_number.morning_setpoint_upstairs,helpers.morning_setpoint_upstairs
input_number.late_evening_setpoint_upstairs,helpers.late_evening_setpoint_upstairs
input_number.evening_setpoint_upstairs,helpers.evening_setpoint_upstairs
input_number.day_setpoint_upstairs,helpers.day_setpoint_upstairs
input_number.temperature_of_main_floor,helpers.temperature_of_main_floor
input_number.temperature_of_upstairs,helpers.temperature_of_upstairs
input_number.percent_self_powered,helpers.percent_self_powered
input_number.main_floor_target_temp,helpers.main_floor_target_temp
input_number.upstairs_target_temp,helpers.upstairs_target_temp
input_number.measured_temperature_for_main_floor,helpers.measured_temperature_for_main_floor
input_number.measured_temperature_for_upstairs,helpers.measured_temperature_for_upstairs
input_number.timer_asher_s_closet,helpers.timer_asher_s_closet
input_number.timer_asher_s_overhead_light,helpers.timer_asher_s_overhead_light
input_number.timer_asher_s_lamps,helpers.timer_asher_s_lamps
input_number.sprinkler_zone_to_run,helpers.sprinkler_zone_to_run
input_number.low_temp_today,helpers.low_temp_today
input_number.high_temp_today,helpers.high_temp_today
input_number.holiday_decor_volume,helpers.holiday_decor_volume
input_number.christmas_pattern_1,helpers.christmas_pattern_1
input_number.power_sharing_max_amps_per_car,helpers.power_sharing_max_amps_per_car
input_number.bedjet_timer_duration_mk,helpers.bedjet_timer_duration_mk
input_number.bedjet_timer_duration_ek,helpers.bedjet_timer_duration_ek
# TEXT (input_text -> text)
input_text.wake_up_song_for_kids,helpers.wake_up_song_for_kids
input_text.wake_meghan_up_with_music,helpers.wake_meghan_up_with_music
input_text.text_to_verbalize_in_movie_room,helpers.text_to_verbalize_in_movie_room
input_text.music_selection_for_sloane,helpers.music_selection_for_sloane
input_text.music_selection_for_levi,helpers.music_selection_for_levi
input_text.music_selection_for_asher,helpers.music_selection_for_asher
input_text.music_selection_for_eli,helpers.music_selection_for_eli
input_text.music_selection_for_meghan,helpers.music_selection_for_meghan
# SELECT (input_select -> select)
input_select.system_mode,helpers.system_mode
input_select.power_saving_mode,helpers.power_saving_mode
input_select.room_selector,helpers.room_selector
input_select.display_mode,helpers.display_mode
input_select.smart_charge_status,helpers.smart_charge_status
input_select.tires_on_red_tesla,helpers.tires_on_red_tesla
input_select.tires_on_white_tesla,helpers.tires_on_white_tesla
input_select.christmas_light_mode,helpers.christmas_light_mode
# DATETIME (input_datetime -> date_time)
input_datetime.levis_alarm,helpers.levis_alarm
input_datetime.ashers_alarm,helpers.ashers_alarm
input_datetime.sloanes_alarm,helpers.sloanes_alarm
input_datetime.elis_alarm,helpers.elis_alarm
input_datetime.meghans_alarm,helpers.meghans_alarm
input_datetime.time_to_add,helpers.time_to_add
input_datetime.water_heater_last_serviced,helpers.water_heater_last_serviced
input_datetime.smoke_detector_last_serviced,helpers.smoke_detector_last_serviced
input_datetime.dryer_vent_last_serviced,helpers.dryer_vent_last_serviced
input_datetime.air_filter_last_serviced,helpers.air_filter_last_serviced
input_datetime.window_shade_batteries_changed,helpers.window_shade_batteries_changed
input_datetime.blind_battery_office_left,helpers.blind_battery_office_left_date
input_datetime.blind_battery_office_middle,helpers.blind_battery_office_middle_date
input_datetime.blind_battery_office_left_2,helpers.blind_battery_office_left_2_date
input_datetime.blind_battery_game_room_left,helpers.blind_battery_game_room_left_date
input_datetime.blind_battery_game_room_middle,helpers.blind_battery_game_room_middle_date
input_datetime.blind_battery_game_room_right,helpers.blind_battery_game_room_right_date
input_datetime.blind_battery_movie_room,helpers.blind_battery_movie_room_date
input_datetime.blind_battery_living_room_left,helpers.blind_battery_living_room_left_date
input_datetime.blind_battery_living_room_middle,helpers.blind_battery_living_room_middle_date
input_datetime.blind_battery_asher,helpers.blind_battery_asher_date
input_datetime.blind_battery_levi,helpers.blind_battery_levi_date
input_datetime.blind_battery_sloane,helpers.blind_battery_sloane_date
input_datetime.blind_battery_bedroom_left,helpers.blind_battery_bedroom_left_date
input_datetime.blind_battery_bedroom_middle,helpers.blind_battery_bedroom_middle_date
input_datetime.blind_battery_bedroom_right,helpers.blind_battery_bedroom_right_date
input_datetime.blind_battery_bedroom_eli,helpers.blind_battery_bedroom_eli_date
input_datetime.blind_battery_bedroom_meghan,helpers.blind_battery_bedroom_meghan_date
input_datetime.party_over_time,helpers.party_over_time
# BUTTONS (input_button -> button)
input_button.meghan_s_alarm,helpers.btn_meghan_s_alarm
input_button.play_xbox,helpers.btn_play_xbox
input_button.play_nintendo,helpers.btn_play_nintendo
input_button.wake_kids_up,helpers.btn_wake_kids_up
input_button.wake_asher,helpers.btn_wake_asher
input_button.wake_levi,helpers.btn_wake_levi
input_button.wake_sloane,helpers.btn_wake_sloane
input_button.wake_meghan,helpers.btn_wake_meghan
input_button.wake_eli,helpers.btn_wake_eli
input_button.morning_mode,helpers.btn_morning_mode
input_button.day_mode,helpers.btn_day_mode
input_button.evening_mode,helpers.btn_evening_mode
input_button.late_evening,helpers.btn_late_evening
input_button.night_mode,helpers.btn_night_mode
input_button.puts_kids_to_sleep,helpers.btn_puts_kids_to_sleep
input_button.garage_motion,helpers.btn_garage_motion
input_button.play_movie,helpers.btn_play_movie
input_button.unlock_cars,helpers.btn_unlock_cars
input_button.motion_in_garage,helpers.btn_motion_in_garage
input_button.motion_in_kitchen,helpers.btn_motion_in_kitchen
input_button.extend_video_game_30_minutes,helpers.btn_extend_video_game_30_minutes
input_button.extend_video_game_60_minutes,helpers.btn_extend_video_game_60_minutes
input_button.extend_video_game_15_minutes,helpers.btn_extend_video_game_15_minutes
input_button.movie_room_kiosk_motion,helpers.btn_movie_room_kiosk_motion
input_button.drain_water_heater,helpers.btn_drain_water_heater
input_button.snooze_water_heater_alert,helpers.btn_snooze_water_heater_alert
input_button.clean_main_area,helpers.btn_clean_main_area
input_button.clean_kitchen,helpers.btn_clean_kitchen
input_button.lr_volume_up,helpers.btn_lr_volume_up
input_button.lr_volume_down,helpers.btn_lr_volume_down
input_button.kiosk_motion_on_small_screen,helpers.btn_kiosk_motion_on_small_screen
input_button.kiosk_motion_on_main_floor_screen,helpers.btn_kiosk_motion_on_main_floor_screen
input_button.kiosk_motion_on_movie_room_screen,helpers.btn_kiosk_motion_on_movie_room_screen
input_button.kiosk_motion_on_upstairs_screen,helpers.btn_kiosk_motion_on_upstairs_screen
input_button.clean_hallway,helpers.btn_clean_hallway
input_button.clean_entry,helpers.btn_clean_entry
input_button.tire_set_1_fr_replaced,helpers.btn_tire_set_1_fr_replaced
input_button.snooze_smoke_detector_alert,helpers.btn_snooze_smoke_detector_alert
input_button.reset_smoke_detector_reminder,helpers.btn_reset_smoke_detector_reminder
input_button.snooze_dryer_vent_alert,helpers.btn_snooze_dryer_vent_alert
input_button.reset_dryer_vent_reminder,helpers.btn_reset_dryer_vent_reminder
input_button.snooze_air_filter_alert,helpers.btn_snooze_air_filter_alert
input_button.reset_air_filter_reminder,helpers.btn_reset_air_filter_reminder
input_button.kiosk_motion_on_meghans_office_kiosk,helpers.btn_kiosk_motion_on_meghans_office_kiosk
input_button.clean_main_suite,helpers.btn_clean_main_suite
input_button.stop_cleaning,helpers.btn_stop_cleaning
input_button.movie_systems_off,helpers.btn_movie_systems_off
input_button.all_downstairs_screens_off,helpers.btn_all_downstairs_screens_off
input_button.mute_everything_upstairs,helpers.btn_mute_everything_upstairs
input_button.volume_warning,helpers.btn_volume_warning
input_button.announcement_in_movie_room,helpers.btn_announcement_in_movie_room
input_button.shutdown_house,helpers.btn_shutdown_house
input_button.returned,helpers.btn_returned
input_button.halloween_show,helpers.btn_halloween_show
input_button.end_video_game_time,helpers.btn_end_video_game_time
input_button.start_cleaning_selected_areas,helpers.btn_start_cleaning_selected_areas
input_button.pool_heater_off,helpers.btn_pool_heater_off
input_button.scream,helpers.btn_scream
# COUNTERS (counter -> counter)
counter.video_game_time,helpers.video_game_time
# TIMERS (timer -> timer)
timer.nintendo_timer,helpers.nintendo_timer
timer.video_game,helpers.video_game_timer
timer.time_to_add,helpers.time_to_add_timer
timer.meghan_s_bedjet,helpers.meghan_s_bedjet_timer
timer.eli_s_bedjet,helpers.eli_s_bedjet_timer
